Year Month Tmax Tmin PAR Prec CO2 O3
1800-1899 1 -6.09 -16.63 133.561 83.85 295.84 0
1800-1899 2 -4.81 -15.95 197.62 68.22 296.24 0
1800-1899 3 1.13 -9.16 329.237 70.57 296.61 0
1800-1899 4 9.54 -0.93 386.918 73.24 296.87 0
1800-1899 5 18.19 6.23 462.879 87.55 296.83 0
1800-1899 6 23.15 11.57 479.046 102.38 296.11 0
1800-1899 7 25.67 14.18 505.211 100.57 294.5 0
1800-1899 8 24.46 12.87 443.053 98.22 292.93 0
1800-1899 9 19.23 8.26 321.46 93.2 292.93 0
1800-1899 10 12.62 2.86 198.082 94.65 294 0
1800-1899 11 4.81 -3.02 112.472 89.94 295.04 0
1800-1899 12 -3.25 -12.15 90.862 82.97 295.71 0
1900 1 -6.9 -20.8 145.59 141.5 296.21 0
1900 2 -10.1 -24 178 63.2 296.61 0
1900 3 0.7 -8.8 328.23 90.4 296.98 0
1900 4 7.3 -3.6 388.12 70.1 297.24 0
1900 5 19.8 6.9 445.87 19.1 297.2 0
1900 6 21.6 8.7 498.62 109.2 296.49 0
1900 7 25.2 11.6 420.71 20.8 294.87 0
1900 8 24.7 10.9 444.53 105.2 293.31 0
1900 9 20.2 7.7 349.94 68.8 293.3 0
1900 10 13.7 3 174.43 64.5 294.38 0
1900 11 3.6 -7.1 130.18 107.7 295.42 0
1900 12 -3.3 -14.2 98.89 127.8 296.08 0
1901 1 -3.7 -14.5 149.48 38.8 296.57 0
1901 2 -3.8 -9.9 225.44 72 296.98 0
1901 3 2.8 -5.2 322.93 70.6 297.34 0
1901 4 11.5 0.4 363.61 64.6 297.59 0
1901 5 21.2 8.3 442.75 140.2 297.55 0
1901 6 22.8 12.6 535.76 145.8 296.82 0
1901 7 27.4 16.2 471.18 84.2 295.2 0
1901 8 24.6 13.5 409.29 120.8 293.63 0
1901 9 20.7 10.3 332.54 107 293.62 0
1901 10 15.1 4.3 210.47 95 294.69 0
1901 11 4.9 -3.4 103.89 57.3 295.72 0
1901 12 -5.5 -14.7 89.16 44 296.39 0
1902 1 -3.2 -17.3 145.59 49.2 296.87 0
1902 2 -3.4 -12.6 178 60.8 297.28 0
1902 3 2.6 -5.3 328.23 62 297.64 0
1902 4 10 -1.8 388.12 54.4 297.9 0
1902 5 18.6 5.8 445.87 142.5 297.85 0
1902 6 20.5 10.2 498.62 125.8 297.13 0
1902 7 26.1 14.2 420.71 87 295.51 0
1902 8 23.3 13.1 444.53 143.9 293.95 0
1902 9 18.5 8.8 349.94 118.2 293.95 0
1902 10 13.3 3.8 174.43 22.6 295.02 0
1902 11 2.4 -6.8 130.18 62.2 296.07 0
1902 12 -7.7 -14.9 98.89 85.2 296.73 0
1903 1 -1.6 -9.2 139.6 74.6 297.22 0
1903 2 -0.2 -10.3 179.02 48.9 297.62 0
1903 3 -1 -10.1 322.46 124.4 297.98 0
1903 4 12 2.2 402.29 129.4 298.24 0
1903 5 17.7 7.6 469.37 87.6 298.19 0
1903 6 23.6 13.2 438.98 90.6 297.47 0
1903 7 24.8 14.9 533.27 69.3 295.85 0
1903 8 24.6 13.7 432.1 29.3 294.28 0
1903 9 23.2 11.6 297.82 50.3 294.27 0
1903 10 18.3 7.9 213.98 80.1 295.33 0
1903 11 5.1 -3.3 118.96 70.7 296.37 0
1903 12 -6.1 -12.7 96.89 70.9 297.03 0
1904 1 -6.3 -15.6 145.56 140.1 297.51 0
1904 2 -10.5 -20.7 221.06 30.6 297.91 0
1904 3 4.1 -5.7 367.13 79.4 298.27 0
1904 4 9.8 0.3 398.66 93.3 298.53 0
1904 5 17.5 6.5 487.22 80.6 298.49 0
1904 6 22.6 10.2 392.4 70.4 297.77 0
1904 7 25.9 13 497.05 102.5 296.15 0
